               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12919,            0.017704,            0.041455,           0.0020243,            0.058824,           0.0012248,          0.00012248,             0.13095,            0.013775,            0.040905,                 0.1,                   0,                   0
                   1,             0.12739,            0.021791,            0.040595,                   0,                   0,                   0,                   0,             0.13349,             0.01282,            0.041648,              0.0991,          9.9802e-05,          9.9802e-05
                   2,             0.12216,            0.017862,            0.042335,                   0,                   0,                   0,                   0,             0.13325,            0.012889,            0.041477,            0.098199,          0.00019921,          0.00019921
                   3,             0.12633,            0.018583,            0.042024,                   0,                   0,                   0,                   0,             0.13288,            0.012995,            0.041231,            0.097298,          0.00029822,          0.00029822
                   4,             0.12287,            0.016145,            0.041584,           0.0042827,             0.11765,           0.0025568,          0.00025568,             0.13269,            0.013062,            0.040913,            0.096397,          0.00039683,          0.00039683
                   5,             0.12535,            0.021381,            0.040374,           0.0041754,             0.11765,           0.0025485,          0.00025485,             0.13228,            0.013212,            0.040503,            0.095495,          0.00049505,          0.00049505
                   6,              0.1273,            0.012732,            0.041452,             0.00409,             0.11765,           0.0025444,          0.00025444,             0.13178,            0.013389,            0.039984,            0.094593,          0.00059287,          0.00059287
                   7,             0.12806,            0.011863,             0.03997,           0.0040323,             0.11765,           0.0025638,          0.00025638,             0.13145,            0.013475,            0.039513,             0.09369,           0.0006903,           0.0006903
                   8,             0.12662,            0.023543,            0.041191,           0.0039448,             0.11765,           0.0025765,          0.00025765,             0.13094,            0.013643,            0.038899,            0.092787,          0.00078733,          0.00078733
                   9,             0.12434,            0.016022,             0.04335,           0.0038911,             0.11765,           0.0026427,          0.00041327,             0.13042,            0.013779,            0.038269,            0.091884,          0.00088396,          0.00088396
                  10,             0.12071,            0.014892,            0.040654,           0.0037736,             0.11765,           0.0026569,           0.0004177,             0.12992,            0.013904,            0.037702,             0.09098,           0.0009802,           0.0009802
                  11,             0.12802,            0.020373,            0.037615,           0.0037037,             0.11765,           0.0023558,          0.00023558,             0.12967,            0.014033,            0.036926,            0.090076,            0.001076,            0.001076
                  12,             0.12142,            0.018234,            0.039375,           0.0055351,             0.17647,           0.0040489,          0.00040489,             0.12908,            0.014195,            0.036042,            0.089171,           0.0011715,           0.0011715
                  13,             0.12477,            0.012367,            0.037469,           0.0036036,             0.11765,           0.0025577,          0.00025577,             0.12842,            0.014334,            0.034996,            0.088267,           0.0012665,           0.0012665
                  14,             0.11817,            0.011002,            0.040797,           0.0034843,             0.11765,           0.0026014,          0.00026014,             0.12791,            0.014393,            0.033883,            0.087361,           0.0013612,           0.0013612
                  15,             0.12162,            0.011794,             0.03468,           0.0034072,             0.11765,            0.002597,          0.00044175,             0.12734,            0.014572,            0.032695,            0.086455,           0.0014555,           0.0014555
                  16,             0.12115,             0.01805,            0.032603,           0.0050761,             0.17647,           0.0035584,          0.00057297,             0.12641,            0.014858,            0.031643,            0.085549,           0.0015493,           0.0015493
                  17,              0.1239,             0.02367,            0.033265,           0.0050761,             0.17647,           0.0035584,          0.00057297,             0.12641,            0.014858,            0.031643,            0.084643,           0.0016428,           0.0016428
                  18,             0.11562,            0.021441,            0.032662,           0.0050336,             0.17647,           0.0032295,          0.00086564,             0.12548,            0.015112,            0.030479,            0.083736,           0.0017358,           0.0017358
                  19,              0.1157,            0.016349,             0.03645,           0.0050336,             0.17647,           0.0032295,          0.00086564,             0.12548,            0.015112,            0.030479,            0.082829,           0.0018285,           0.0018285
                  20,              0.1196,            0.019155,            0.034185,           0.0033501,             0.11765,           0.0025717,          0.00060912,             0.12438,            0.015455,            0.029165,            0.081921,           0.0019208,           0.0019208
                  21,             0.11435,            0.023668,            0.033563,           0.0033501,             0.11765,           0.0025717,          0.00060912,             0.12438,            0.015455,            0.029165,            0.081013,           0.0020127,           0.0020127
                  22,             0.12116,            0.018276,              0.0301,           0.0015773,            0.058824,           0.0011031,          0.00011031,             0.12458,            0.015596,            0.028419,            0.080104,           0.0021042,           0.0021042
                  23,             0.11559,             0.02147,            0.030711,           0.0015773,            0.058824,           0.0011031,          0.00011031,             0.12458,            0.015596,            0.028419,            0.079195,           0.0021953,           0.0021953
                  24,             0.11557,            0.019018,            0.031337,           0.0046296,             0.17647,           0.0092047,           0.0019952,             0.12096,            0.016244,            0.027044,            0.078286,            0.002286,            0.002286
                  25,             0.11227,            0.014909,            0.029139,           0.0046296,             0.17647,           0.0092047,           0.0019952,             0.12096,            0.016244,            0.027044,            0.077376,           0.0023762,           0.0023762
                  26,             0.11571,            0.021533,            0.028645,           0.0045524,             0.17647,           0.0082725,           0.0016271,             0.11827,            0.016791,            0.025407,            0.076466,           0.0024662,           0.0024662
                  27,             0.11615,             0.02962,            0.028626,           0.0045524,             0.17647,           0.0082725,           0.0016271,             0.11827,            0.016791,            0.025407,            0.075556,           0.0025557,           0.0025557
                  28,             0.11944,            0.021024,            0.029426,           0.0029197,             0.11765,           0.0082655,           0.0028101,              0.1185,            0.016831,            0.024194,            0.074645,           0.0026448,           0.0026448
                  29,             0.11083,            0.023695,            0.027395,           0.0029197,             0.11765,           0.0082655,           0.0028101,              0.1185,            0.016831,            0.024194,            0.073733,           0.0027335,           0.0027335
                  30,             0.11377,            0.027019,             0.02766,           0.0054422,             0.23529,            0.015595,           0.0044166,             0.11659,            0.017511,            0.023461,            0.072822,           0.0028218,           0.0028218
                  31,             0.11588,            0.024917,            0.026626,           0.0054422,             0.23529,            0.015595,           0.0044166,             0.11659,            0.017511,            0.023461,             0.07191,           0.0029097,           0.0029097
                  32,             0.11196,            0.022801,            0.026278,            0.005277,             0.23529,            0.013696,           0.0036876,             0.11394,            0.018491,            0.021618,            0.070997,           0.0029972,           0.0029972
                  33,              0.1078,            0.018218,            0.025989,            0.005277,             0.23529,            0.013696,           0.0036876,             0.11394,            0.018491,            0.021618,            0.070084,           0.0030844,           0.0030844
                  34,             0.11754,            0.028411,            0.024209,           0.0051613,             0.23529,            0.012706,           0.0054013,             0.11452,            0.018576,            0.020275,            0.069171,           0.0031711,           0.0031711
                  35,             0.10621,            0.028589,            0.023841,           0.0051613,             0.23529,            0.012706,           0.0054013,             0.11452,            0.018576,            0.020275,            0.068257,           0.0032574,           0.0032574
                  36,              0.1092,            0.025298,            0.023882,           0.0075472,             0.35294,            0.018623,           0.0049327,             0.11375,             0.01867,            0.018908,            0.067343,           0.0033434,           0.0033434
                  37,             0.11076,            0.030073,            0.021476,           0.0075472,             0.35294,            0.018623,           0.0049327,             0.11375,             0.01867,            0.018908,            0.066429,           0.0034289,           0.0034289
                  38,             0.11079,            0.029629,            0.022706,           0.0062578,             0.29412,            0.014507,           0.0029365,             0.11151,            0.019091,            0.017925,            0.065514,           0.0035141,           0.0035141
                  39,             0.11409,            0.033081,            0.022703,           0.0062578,             0.29412,            0.014507,           0.0029365,             0.11151,            0.019091,            0.017925,            0.064599,           0.0035988,           0.0035988
                  40,             0.10904,            0.028612,            0.022498,            0.029851,             0.23529,            0.045577,            0.010103,             0.10973,            0.019485,            0.016905,            0.063683,           0.0036832,           0.0036832
                  41,             0.10905,            0.021831,            0.020973,            0.029851,             0.23529,            0.045577,            0.010103,             0.10973,            0.019485,            0.016905,            0.062767,           0.0037672,           0.0037672
                  42,             0.10495,            0.027041,            0.018485,            0.083701,             0.17647,             0.05044,            0.010057,             0.11033,             0.01908,            0.016662,            0.061851,           0.0038507,           0.0038507
                  43,             0.10044,            0.018639,            0.019703,            0.083701,             0.17647,             0.05044,            0.010057,             0.11033,             0.01908,            0.016662,            0.060934,           0.0039339,           0.0039339
                  44,             0.11001,            0.029834,            0.019466,              0.1128,             0.29412,            0.071818,            0.024106,             0.11038,            0.019279,            0.013897,            0.060017,           0.0040167,           0.0040167
                  45,            0.096291,            0.015866,            0.020081,              0.1128,             0.29412,            0.071818,            0.024106,             0.11038,            0.019279,            0.013897,            0.059099,           0.0040991,           0.0040991
                  46,             0.10466,            0.019206,            0.017758,           0.0056915,             0.23529,            0.034805,           0.0056208,             0.11132,            0.019563,            0.012493,            0.058181,            0.004181,            0.004181
                  47,            0.097429,            0.021332,            0.018132,           0.0056915,             0.23529,            0.034805,           0.0056208,             0.11132,            0.019563,            0.012493,            0.057263,           0.0042626,           0.0042626
                  48,              0.1067,            0.025146,            0.015261,             0.07273,             0.23529,             0.10708,            0.040508,              0.1062,            0.020768,            0.011349,            0.056344,           0.0043438,           0.0043438
                  49,             0.10775,            0.028348,            0.013586,             0.07273,             0.23529,             0.10708,            0.040508,              0.1062,            0.020768,            0.011349,            0.055425,           0.0044246,           0.0044246
                  50,             0.10224,            0.019682,            0.012979,            0.010889,             0.47059,             0.02849,           0.0050245,             0.11692,            0.019382,             0.01081,            0.054505,            0.004505,            0.004505
                  51,             0.11632,            0.031116,            0.013037,            0.010889,             0.47059,             0.02849,           0.0050245,             0.11692,            0.019382,             0.01081,            0.053585,            0.004585,            0.004585
                  52,             0.11333,            0.030787,            0.013915,            0.010889,             0.47059,             0.02849,           0.0050245,             0.11692,            0.019382,             0.01081,            0.052665,           0.0046646,           0.0046646
                  53,             0.10917,            0.031915,            0.015038,            0.012315,             0.58824,            0.030636,           0.0050177,             0.11583,            0.020186,           0.0099184,            0.051744,           0.0047438,           0.0047438
                  54,             0.10927,            0.021364,            0.012545,            0.012315,             0.58824,            0.030636,           0.0050177,             0.11583,            0.020186,           0.0099184,            0.050823,           0.0048226,           0.0048226
                  55,             0.10297,            0.022736,             0.01166,            0.012315,             0.58824,            0.030636,           0.0050177,             0.11583,            0.020186,           0.0099184,            0.049901,           0.0049011,           0.0049011
                  56,             0.10883,            0.029444,               0.014,            0.011321,             0.41176,            0.022463,           0.0055028,             0.11658,            0.020136,           0.0093497,            0.048979,           0.0049791,           0.0049791
                  57,             0.10945,            0.039842,            0.016285,            0.011321,             0.41176,            0.022463,           0.0055028,             0.11658,            0.020136,           0.0093497,            0.048057,           0.0050567,           0.0050567
                  58,              0.1164,            0.019852,            0.012527,            0.011321,             0.41176,            0.022463,           0.0055028,             0.11658,            0.020136,           0.0093497,            0.047134,           0.0051339,           0.0051339
