               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12826,            0.012906,            0.041249,           0.0011933,              0.0625,          0.00085183,          8.5183e-05,             0.13127,           0.0095774,            0.040185,                 0.1,                   0,                   0
                   1,              0.1304,            0.011741,             0.04345,                   0,                   0,                   0,                   0,             0.13259,           0.0091767,            0.040796,              0.0991,          9.9802e-05,          9.9802e-05
                   2,             0.12801,            0.013085,            0.043932,                   0,                   0,                   0,                   0,             0.13218,           0.0092267,            0.040475,            0.098199,          0.00019921,          0.00019921
                   3,             0.13193,            0.009147,            0.039762,                   0,                   0,                   0,                   0,             0.13161,           0.0093024,            0.039882,            0.097298,          0.00029822,          0.00029822
                   4,             0.12521,            0.011214,            0.041565,            0.001182,              0.0625,           0.0016993,          0.00026437,             0.13084,           0.0094032,            0.039051,            0.096397,          0.00039683,          0.00039683
                   5,             0.12755,            0.010622,            0.038961,           0.0011655,              0.0625,           0.0020567,          0.00061701,             0.13004,           0.0094986,            0.037999,            0.095495,          0.00049505,          0.00049505
                   6,             0.12589,            0.010834,            0.037623,           0.0011383,              0.0625,           0.0028262,           0.0010152,             0.12931,           0.0096203,            0.036749,            0.094593,          0.00059287,          0.00059287
                   7,             0.12287,            0.012529,            0.036567,           0.0011173,              0.0625,           0.0034954,           0.0018019,             0.12843,           0.0097671,            0.035319,             0.09369,           0.0006903,           0.0006903
                   8,             0.12394,            0.011881,            0.036187,           0.0010929,              0.0625,           0.0044489,           0.0017372,              0.1279,           0.0098718,            0.033772,            0.092787,          0.00078733,          0.00078733
                   9,             0.12392,            0.012216,             0.03452,            0.001606,             0.09375,           0.0075636,           0.0016997,             0.12671,            0.010014,            0.032056,            0.091884,          0.00088396,          0.00088396
                  10,             0.12169,            0.014314,             0.03377,           0.0015666,             0.09375,           0.0090866,           0.0018924,             0.12681,            0.010042,            0.030445,             0.09098,           0.0009802,           0.0009802
                  11,             0.11805,            0.012132,            0.033481,           0.0020419,               0.125,            0.015641,           0.0018208,             0.12606,            0.010049,            0.028424,            0.090076,            0.001076,            0.001076
                  12,             0.11918,            0.015668,            0.028327,           0.0014634,             0.09375,           0.0034218,          0.00052897,              0.1263,            0.010133,             0.02647,            0.089171,           0.0011715,           0.0011715
                  13,             0.11818,            0.016992,            0.026721,           0.0014225,             0.09375,           0.0048172,          0.00070293,             0.12641,            0.010259,            0.024893,            0.088267,           0.0012665,           0.0012665
                  14,             0.11633,            0.018431,            0.026708,           0.0018408,               0.125,           0.0067842,           0.0022301,             0.12461,            0.010545,            0.023049,            0.087361,           0.0013612,           0.0013612
                  15,             0.11329,            0.012639,            0.025167,           0.0022758,             0.15625,            0.016622,           0.0023745,             0.12435,            0.010647,            0.021009,            0.086455,           0.0014555,           0.0014555
                  16,             0.11586,            0.016556,             0.02139,           0.0027149,              0.1875,            0.015234,           0.0033247,              0.1206,            0.011026,            0.018782,            0.085549,           0.0015493,           0.0015493
                  17,             0.10806,             0.01419,            0.020122,           0.0027149,              0.1875,            0.015234,           0.0033247,              0.1206,            0.011026,            0.018782,            0.084643,           0.0016428,           0.0016428
                  18,             0.11348,            0.015488,             0.01845,           0.0038843,             0.28125,            0.035252,           0.0064116,              0.1174,            0.011495,            0.016993,            0.083736,           0.0017358,           0.0017358
                  19,              0.1116,            0.015735,            0.019068,           0.0038843,             0.28125,            0.035252,           0.0064116,              0.1174,            0.011495,            0.016993,            0.082829,           0.0018285,           0.0018285
                  20,             0.11031,            0.016975,            0.019067,           0.0034438,                0.25,            0.031916,           0.0079495,             0.11649,            0.011624,            0.015173,            0.081921,           0.0019208,           0.0019208
                  21,             0.10468,            0.016844,            0.018364,           0.0034438,                0.25,            0.031916,           0.0079495,             0.11649,            0.011624,            0.015173,            0.081013,           0.0020127,           0.0020127
                  22,             0.11125,            0.017645,            0.016698,           0.0038911,             0.28125,            0.028985,           0.0076747,             0.11333,            0.011903,            0.013535,            0.080104,           0.0021042,           0.0021042
                  23,             0.10421,            0.015518,            0.014464,           0.0038911,             0.28125,            0.028985,           0.0076747,             0.11333,            0.011903,            0.013535,            0.079195,           0.0021953,           0.0021953
                  24,             0.10619,            0.014777,            0.016032,            0.065144,             0.09375,            0.051205,           0.0094589,             0.11037,            0.012145,            0.011828,            0.078286,            0.002286,            0.002286
                  25,             0.10431,            0.015018,            0.014154,            0.065144,             0.09375,            0.051205,           0.0094589,             0.11037,            0.012145,            0.011828,            0.077376,           0.0023762,           0.0023762
                  26,             0.10679,            0.020468,            0.014733,           0.0045455,             0.34375,            0.014087,            0.002056,             0.11401,            0.012006,            0.010387,            0.076466,           0.0024662,           0.0024662
                  27,              0.1047,             0.02037,            0.011494,           0.0045455,             0.34375,            0.014087,            0.002056,             0.11401,            0.012006,            0.010387,            0.075556,           0.0025557,           0.0025557
                  28,             0.10288,            0.017849,            0.012916,           0.0044807,             0.34375,            0.017065,           0.0026216,             0.11308,            0.012216,           0.0092661,            0.074645,           0.0026448,           0.0026448
                  29,             0.10654,            0.018576,             0.01197,           0.0044807,             0.34375,            0.017065,           0.0026216,             0.11308,            0.012216,           0.0092661,            0.073733,           0.0027335,           0.0027335
                  30,             0.10487,            0.016483,            0.011242,           0.0047733,               0.375,            0.016585,           0.0050059,             0.10752,            0.012891,           0.0082195,            0.072822,           0.0028218,           0.0028218
                  31,             0.10282,            0.015482,           0.0097454,           0.0047733,               0.375,            0.016585,           0.0050059,             0.10752,            0.012891,           0.0082195,             0.07191,           0.0029097,           0.0029097
                  32,             0.10115,            0.020986,            0.011079,           0.0052062,             0.40625,            0.019773,           0.0028484,             0.10919,            0.013036,           0.0069435,            0.070997,           0.0029972,           0.0029972
                  33,             0.10305,            0.012055,           0.0086221,           0.0052062,             0.40625,            0.019773,           0.0028484,             0.10919,            0.013036,           0.0069435,            0.070084,           0.0030844,           0.0030844
                  34,            0.098126,            0.018578,            0.009503,             0.12915,               0.125,            0.077491,            0.016674,             0.10263,            0.013696,           0.0059948,            0.069171,           0.0031711,           0.0031711
                  35,            0.096501,            0.017864,           0.0084825,             0.12915,               0.125,            0.077491,            0.016674,             0.10263,            0.013696,           0.0059948,            0.068257,           0.0032574,           0.0032574
                  36,            0.093537,            0.018859,           0.0087862,             0.18678,               0.125,             0.11479,            0.028666,             0.09806,            0.014157,           0.0054664,            0.067343,           0.0033434,           0.0033434
                  37,            0.095944,            0.014644,           0.0073763,             0.18678,               0.125,             0.11479,            0.028666,             0.09806,            0.014157,           0.0054664,            0.066429,           0.0034289,           0.0034289
                  38,             0.10039,            0.014972,           0.0064463,           0.0045045,             0.34375,           0.0097817,           0.0029852,             0.11252,             0.01344,           0.0049972,            0.065514,           0.0035141,           0.0035141
                  39,              0.1087,            0.013356,           0.0059488,           0.0045045,             0.34375,           0.0097817,           0.0029852,             0.11252,             0.01344,           0.0049972,            0.064599,           0.0035988,           0.0035988
                  40,             0.10007,            0.022174,           0.0079022,            0.045603,             0.15625,            0.029769,           0.0074172,             0.10231,            0.014065,           0.0044602,            0.063683,           0.0036832,           0.0036832
                  41,            0.099151,            0.027287,           0.0067942,            0.045603,             0.15625,            0.029769,           0.0074172,             0.10231,            0.014065,           0.0044602,            0.062767,           0.0037672,           0.0037672
                  42,             0.10197,             0.01709,           0.0058975,            0.047634,             0.15625,            0.036784,           0.0087609,             0.10211,            0.013814,           0.0040553,            0.061851,           0.0038507,           0.0038507
                  43,            0.097844,            0.019637,           0.0057937,            0.047634,             0.15625,            0.036784,           0.0087609,             0.10211,            0.013814,           0.0040553,            0.060934,           0.0039339,           0.0039339
                  44,            0.096411,            0.018538,           0.0054846,            0.036702,             0.34375,            0.032781,           0.0050919,             0.10842,            0.014023,           0.0039021,            0.060017,           0.0040167,           0.0040167
                  45,            0.097792,            0.012442,           0.0049755,            0.036702,             0.34375,            0.032781,           0.0050919,             0.10842,            0.014023,           0.0039021,            0.059099,           0.0040991,           0.0040991
                  46,             0.10633,            0.018389,           0.0049147,            0.012496,             0.40625,            0.019494,           0.0049069,             0.10936,            0.014151,           0.0036705,            0.058181,            0.004181,            0.004181
                  47,             0.10096,            0.013133,           0.0061963,            0.012496,             0.40625,            0.019494,           0.0049069,             0.10936,            0.014151,           0.0036705,            0.057263,           0.0042626,           0.0042626
                  48,             0.10312,            0.018301,           0.0053713,            0.035032,               0.375,            0.045881,           0.0087638,            0.098041,             0.01507,           0.0037617,            0.056344,           0.0043438,           0.0043438
                  49,            0.090562,            0.013343,           0.0046107,            0.035032,               0.375,            0.045881,           0.0087638,            0.098041,             0.01507,           0.0037617,            0.055425,           0.0044246,           0.0044246
                  50,             0.09004,            0.022179,           0.0056892,            0.064578,             0.34375,            0.072479,            0.019293,            0.098789,            0.015065,           0.0036345,            0.054505,            0.004505,            0.004505
                  51,            0.097698,            0.015654,           0.0055301,            0.064578,             0.34375,            0.072479,            0.019293,            0.098789,            0.015065,           0.0036345,            0.053585,            0.004585,            0.004585
                  52,            0.093555,            0.022642,           0.0044994,            0.064578,             0.34375,            0.072479,            0.019293,            0.098789,            0.015065,           0.0036345,            0.052665,           0.0046646,           0.0046646
                  53,             0.10083,             0.01892,            0.004675,             0.12913,             0.28125,            0.086889,            0.015414,            0.098239,            0.015136,           0.0038905,            0.051744,           0.0047438,           0.0047438
                  54,            0.092751,            0.019839,           0.0043098,             0.12913,             0.28125,            0.086889,            0.015414,            0.098239,            0.015136,           0.0038905,            0.050823,           0.0048226,           0.0048226
                  55,            0.093769,             0.01791,           0.0046807,             0.12913,             0.28125,            0.086889,            0.015414,            0.098239,            0.015136,           0.0038905,            0.049901,           0.0049011,           0.0049011
                  56,            0.093228,            0.018873,           0.0047404,            0.029548,             0.46875,             0.08233,            0.014855,            0.090836,            0.015791,           0.0037939,            0.048979,           0.0049791,           0.0049791
                  57,            0.091343,            0.019821,           0.0047586,            0.029548,             0.46875,             0.08233,            0.014855,            0.090836,            0.015791,           0.0037939,            0.048057,           0.0050567,           0.0050567
                  58,            0.084614,            0.015518,           0.0057614,            0.029548,             0.46875,             0.08233,            0.014855,            0.090836,            0.015791,           0.0037939,            0.047134,           0.0051339,           0.0051339
